Step,Value
10950,-78.31041563793303
11000,-78.33773573542815
11050,-79.19211274949167
11100,-77.7153838693568
11150,-81.567432890326
11200,-78.63071198921588
11250,-78.34322557149379
11300,-80.31928526201183
11350,-78.30877940625928
11400,-78.30884631072963
11450,-81.69214193751367
11500,-78.95677120862896
11550,-78.86950075591133
11600,-79.68743423830706
11650,-77.9604561605961
11700,-78.17330146947955
11750,-83.63754650176276
11800,-78.0460519291945
11850,-79.05849437056281
11900,-81.86034746437267
11950,-78.08346582480392
12000,-79.21248790401481
