Step,Value
18400,-306.50681183629183
18450,-296.39368973709264
18500,-259.2292482123781
18550,-287.5483568950971
18600,-288.22353717395936
18650,-319.55144957731807
18700,-282.41901487356336
18750,-248.8871651366857
18800,-266.1686901692529
18850,-250.1632429114617
18900,-350.5458239919646
18950,-244.94285841909905
19000,-333.89643183948846
19050,-283.8676995961625
19100,-323.36797054690925
19150,-273.2105797276291
19200,-282.68734975645856
19250,-265.08871248574815
19300,-291.13823529309224
19350,-319.7610651063571
19400,-316.89041626411796
19450,-259.7955084396181
19500,-329.7001892633459
19550,-321.4539917291913
19600,-270.03278497397935
19650,-277.31442504514325
19700,-300.2149041361021
19750,-318.17951677731463
19800,-282.9927044334315
19850,-269.03665286413184
19900,-255.97506341249792
19950,-289.47939562015256
20000,-266.1579470371859
20050,-269.58500121315024
20100,-313.20955324517826
20150,-274.32268725502183
20200,-320.0517117281269
20250,-331.61082222358897
20300,-277.100520046799
20350,-283.8130557390782
20400,-381.3647405200634
20450,-251.07176890139377
20500,-308.3845357094666
20550,-315.96300535467014
20600,-312.51726230903074
20650,-354.7187822248679
20700,-282.33297003750044
20750,-325.414661678264
20800,-286.32950745763924
20850,-309.953264585327
20900,-288.7824565086633
20950,-256.99844446650116
21000,-300.2362795355938
21050,-303.8514304336085
21100,-309.30823252856226
21150,-318.02488126246
21200,-314.39957614388294
21250,-373.74693854352364
21300,-304.0765040710173
21350,-290.9003404214992
21400,-267.0599441751571
21450,-295.04495338165003
21500,-296.40629638599273
21550,-260.8049030241001
21600,-328.7303034494764
21650,-313.3443098819513
21700,-331.2882502795359
21750,-339.9650495579405
21800,-295.07982970079394
21850,-269.3709151108285
21900,-336.85401194480534
21950,-332.3931780987298
22000,-262.7100112851338
22050,-275.6083946267864
22100,-328.58956744725197
22150,-346.2880033239337
22200,-287.59128899939884
22250,-281.8946202662778
22300,-281.14203748458016
22350,-291.06500458341986
22400,-240.40559087961867
22450,-234.93821321662617
22500,-313.7479721322997
22550,-265.1186356414505
22600,-215.15235965720785
22650,-300.64605344180217
22700,-267.39341643474154
22750,-305.7880471142282
22800,-264.9170013569888
22850,-299.1854099604009
22900,-273.42025591504955
22950,-304.33518268187635
23000,-300.11440168693423
23050,-272.2777621307838
23100,-375.27422913766844
23150,-249.44929366782173
23200,-248.60925115421298
23250,-280.5497816150919
23300,-295.91340982437146
23350,-296.3242399568069
23400,-311.850413096013
23450,-321.8559997702957
23500,-349.26498639876684
23550,-331.7086557936458
23600,-262.25635554126
23650,-239.54788585784118
23700,-307.6162263848101
23750,-299.7369272123123
23800,-250.6391803546805
23850,-297.147230464378
23900,-256.7400402965421
23950,-281.6698262993968
24000,-304.39173642965534
24050,-268.43200932813977
24100,-306.3421972950658
24150,-296.5706637870675
24200,-324.8163923076196
24250,-278.2224217173167
24300,-304.67018575072797
24350,-297.78320970921493
24400,-310.76190218455775
24450,-266.9762675198108
24500,-278.5011490724756
24550,-221.88790744555806
24600,-289.244696276682
24650,-271.02652933801454
24700,-303.0232032380266
24750,-274.49280881627607
24800,-289.34074265399414
24850,-319.07551796630435
24900,-344.36293686826616
24950,-225.0595302776893
25000,-249.7723577378352
25050,-320.97732628238094
25100,-262.84454007491297
25150,-355.2040159324588
25200,-322.2208934906459
25250,-272.1908552687329
25300,-318.7573734237958
25350,-295.61883334571365
25400,-292.4768112768124
25450,-242.04448607991256
25500,-283.45553209740046
25550,-279.7896341395753
25600,-277.63979132155123
25650,-301.60203197708245
25700,-255.22107077196563
25750,-287.37865943652736
25800,-316.2140893293726
25850,-274.8689612501957
25900,-320.79357985344666
25950,-303.7695073580073
26000,-248.3323126091617
26050,-260.03835274171286
26100,-280.1635946018355
26150,-314.5918647030135
26200,-279.18400476339696
26250,-233.78042536644548
26300,-267.1508627810001
26350,-296.5711573843521
26400,-305.24384363458864
26450,-224.9888216213058
26500,-333.7708423722936
26550,-252.58003395917885
26600,-278.25457460105713
26650,-270.07306398130487
26700,-304.2132796385416
26750,-299.98989596175323
26800,-277.2233075252199
26850,-263.5781588978491
26900,-292.22550465154586
26950,-276.777901432735
27000,-318.53520000138536
27050,-303.4229752926027
27100,-295.00037260507656
27150,-375.2447711617783
27200,-337.8535627399227
27250,-331.07660488623037
27300,-311.4175211382034
27350,-252.87159392089325
27400,-362.00189715604625
27450,-318.86111980841565
27500,-272.39781555188523
27550,-255.8308317750487
27600,-256.4126298130821
27650,-340.754501793395
27700,-290.36951241018136
27750,-304.6157092051301
27800,-258.867389034958
27850,-285.67151421058594
27900,-283.2254466469941
27950,-340.5915938009103
28000,-294.10970516038384
28050,-233.61011784175105
28100,-273.0318110423854
28150,-326.13740039005665
28200,-258.93290098570384
28250,-264.01888087333384
28300,-386.49264578636627
28350,-250.35008251071346
28400,-320.9789240093337
28450,-337.5532054463305
28500,-258.1187469776212
28550,-331.02251736268573
28600,-259.9584826608476
28650,-234.89519847946917
28700,-295.16750854338187
28750,-342.94306085214913
28800,-291.9411326146081
28850,-286.51931526538397
28900,-252.7527968424448
28950,-344.0242112350905
29000,-330.7761800089678
29050,-267.21834904968654
29100,-291.66364971317637
29150,-267.97099943273696
29200,-320.69694541823037
